Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80646E31230V3,Intel,Xeon E3-1230 v3,183,64.3,4263,https://cpu.userbenchmark.com/SpeedTest/2171/IntelR-XeonR-CPU-E3-1230-v3---330GHz
CPU,,Intel,Xeon E3-1225 v3,184,64.3,2470,https://cpu.userbenchmark.com/SpeedTest/12983/IntelR-XeonR-CPU-E3-1225-v3---320GHz
CPU,,Intel,Core i5-4590S,185,64.2,4941,https://cpu.userbenchmark.com/SpeedTest/13459/IntelR-CoreTM-i5-4590S-CPU---300GHz
CPU,,Intel,Xeon E3-1270 V2,186,64.2,1323,https://cpu.userbenchmark.com/SpeedTest/11264/IntelR-XeonR-CPU-E3-1270-V2---350GHz
CPU,,Intel,Core i5-2550K,187,64.1,1772,https://cpu.userbenchmark.com/SpeedTest/5474/IntelR-CoreTM-i5-2550K-CPU---340GHz
CPU,BX80623I72700K,Intel,Core i7-2700K,188,64,11084,https://cpu.userbenchmark.com/Intel-Core-i7-2700K/Rating/1985
CPU,BX80637I73770,Intel,Core i7-3770,189,64,148247,https://cpu.userbenchmark.com/Intel-Core-i7-3770/Rating/1979
CPU,,Intel,Xeon E5-1650 0,190,63.9,4316,https://cpu.userbenchmark.com/SpeedTest/7093/IntelR-XeonR-CPU-E5-1650-0---320GHz
CPU,,Intel,Core i5-8305G,191,63.7,192,https://cpu.userbenchmark.com/SpeedTest/483074/IntelR-CoreTM-i5-8305G-CPU---280GHz
CPU,,Intel,Xeon E3-1275 V2,192,63.6,164,https://cpu.userbenchmark.com/SpeedTest/4507/IntelR-XeonR-CPU-E3-1275-V2---350GHz
CPU,,Intel,Core i7-5850HQ,193,63.5,31,https://cpu.userbenchmark.com/SpeedTest/35099/IntelR-CoreTM-i7-5850HQ-CPU---270GHz
CPU,,Intel,Core i7-7820HQ,194,63.5,6555,https://cpu.userbenchmark.com/SpeedTest/185229/IntelR-CoreTM-i7-7820HQ-CPU---290GHz
CPU,,Intel,Core i7-4940MX,195,63.5,1058,https://cpu.userbenchmark.com/SpeedTest/9756/IntelR-CoreTM-i7-4940MX-CPU---310GHz
CPU,BX80662I56500,Intel,Core i5-6500,196,63.4,125674,https://cpu.userbenchmark.com/Intel-Core-i5-6500/Rating/3513
CPU,,Intel,Xeon E3-1505M v6,197,63.3,1893,https://cpu.userbenchmark.com/SpeedTest/233404/IntelR-XeonR-CPU-E3-1505M-v6---300GHz
CPU,,Intel,Xeon E5-1620 v2,198,63.3,3973,https://cpu.userbenchmark.com/SpeedTest/8354/IntelR-XeonR-CPU-E5-1620-v2---370GHz
CPU,,Intel,Core i5-3550,199,63.2,12087,https://cpu.userbenchmark.com/SpeedTest/846/IntelR-CoreTM-i5-3550-CPU---330GHz
CPU,BX80677I57400,Intel,Core i5-7400,200,63.1,116357,https://cpu.userbenchmark.com/Intel-Core-i5-7400/Rating/3886
CPU,BX80677I37300,Intel,Core i3-7300,201,63,733,https://cpu.userbenchmark.com/Intel-Core-i3-7300/Rating/3893
CPU,,Intel,Core i7-4790T,202,63,482,https://cpu.userbenchmark.com/SpeedTest/13586/IntelR-CoreTM-i7-4790T-CPU---270GHz
